sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,63,細懸浮微粒,普通,1.2,0.28,41,38,35,14,5,5.7,0.5,1.3,85,"2024/12/22 13:00:00",0.3,20,41,1,121.760056,25.129167,1
汐止,新北市,73,細懸浮微粒,普通,1.1,0.3,35,33,40,21,7,8.7,0.9,1.1,39,"2024/12/22 13:00:00",0.3,24,46,1,121.64081,25.06624,2
萬里,新北市,89,懸浮微粒,普通,0.9,0.28,41,37,86,22,3,4.7,0.8,6.6,36,"2024/12/22 13:00:00",0.3,26,89,1,121.689881,25.179667,3
新店,新北市,72,細懸浮微粒,普通,1.3,0.39,28,27,42,21,10,12.8,2,1.3,133,"2024/12/22 13:00:00",0.3,24,48,0,121.537778,24.977222,4
土城,新北市,66,細懸浮微粒,普通,1,0.38,30,31,41,18,9,11.2,1.5,1.4,149,"2024/12/22 13:00:00",0.3,21,48,1,121.451861,24.982528,5
板橋,新北市,69,細懸浮微粒,普通,1.1,0.43,28,29,41,22,16,19.3,2.3,2.3,105,"2024/12/22 13:00:00",0.3,23,43,0,121.458667,25.012972,6
新莊,新北市,89,細懸浮微粒,普通,1.2,0.31,38,31,41,24,6,7.3,0.6,4.2,73,"2024/12/22 13:00:00",0.3,31,48,0,121.4325,25.037972,7
菜寮,新北市,70,細懸浮微粒,普通,1.5,0.37,36,32,35,21,10,12,1.6,2.5,69,"2024/12/22 13:00:00",0.3,23,42,1,121.481028,25.06895,8
林口,新北市,78,細懸浮微粒,普通,1.4,0.3,38,33,42,24,6,8.5,1.7,4.2,50,"2024/12/22 13:00:00",0.3,26,51,1,121.36548982,25.07798949,9
淡水,新北市,81,細懸浮微粒,普通,1,0.3,38,34,45,23,5,6.9,1.2,,,"2024/12/22 13:00:00",0.3,27,50,1,121.449239,25.1645,10
士林,臺北市,,,良好,,0.28,39,,38,11,6,7,0.6,1.4,86,"2024/12/22 13:00:00",0.2,,,1,121.51666356,25.10334003,11
中山,臺北市,72,細懸浮微粒,普通,0.6,0.39,29,28,42,19,15,18.8,2.9,1.3,81,"2024/12/22 13:00:00",0.3,23,46,0,121.526528,25.062361,12
萬華,臺北市,72,細懸浮微粒,普通,0.6,0.37,29,27,47,18,16,18.9,2.7,1.9,87,"2024/12/22 13:00:00",0.3,24,47,0,121.507972,25.046503,13
